Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Player Reference,Season,League
Adam Keefe,C,26,UTA,62,915,.512,.516,.000,.512,.689,.572,.644,.006,113,107,,104,93,107,201,3,6.3,15.1,keefead01,1996-1997,NBA
Shawn Kemp,PF,27,SEA,81,2750,.510,.515,.364,.516,.742,.583,.590,.032,112,107,101,105,101,109,185,15,46.5,123.5,kempsh01,1996-1997,NBA
Tim Kempton,PF,33,SAS,10,59,.200,.200,,.200,1.000,.340,.400,.000,44,42,,41,135,64,125,,-2.9,-2.3,kemptti01,1996-1997,NBA
Steve Kerr,PG,31,CHI,82,1861,.533,.604,.464,.651,.806,.667,.143,.507,117,126,129,132,109,124,45,240,147.6,130.2,kerrst01,1996-1997,NBA
Jerome Kersey,SF,34,LAL,70,1766,.432,.461,.262,.451,.602,.475,.263,.145,95,96,73,91,82,89,82,68,-37.7,-60.6,kerseje01,1996-1997,NBA
Jason Kidd,PG,23,TOT,55,1964,.403,.418,.370,.460,.679,.498,.312,.312,89,87,103,93,92,93,98,147,-34.5,-45.4,kiddja01,1996-1997,NBA
Jason Kidd,PG,23,DAL,22,791,.369,.391,.323,.421,.667,.465,.340,.320,81,81,90,85,90,87,106,151,-29.1,-33.0,kiddja01,1996-1997,NBA
Jason Kidd,PG,23,PHO,33,1173,.423,.434,.400,.485,.688,.519,.294,.307,93,90,111,98,93,97,92,145,-5.4,-12.5,kiddja01,1996-1997,NBA
Frankie King,SG,24,PHI,7,59,.412,.400,.500,.441,1.000,.521,.294,.118,91,83,139,89,135,97,92,56,-1.8,-0.6,kingfr01,1996-1997,NBA
Jimmy King,SG,23,DEN,2,22,.333,.333,,.333,.500,.387,.667,.000,73,69,,68,68,72,209,,-1.9,-2.3,kingji02,1996-1997,NBA
Stacey King,C,30,TOT,11,103,.500,.500,,.500,.286,.478,.318,.000,110,104,,101,39,89,100,,.3,-2.9,kingst01,1996-1997,NBA
Stacey King,C,30,BOS,5,33,.714,.714,,.714,.667,.721,.429,.000,157,149,,145,90,135,134,,3.1,3.1,kingst01,1996-1997,NBA
Stacey King,C,30,DAL,6,70,.400,.400,,.400,.000,.358,.267,.000,88,83,,81,,67,83,,-2.8,-6.0,kingst01,1996-1997,NBA
Kerry Kittles,SG,22,NJN,82,3012,.426,.453,.377,.493,.771,.523,.191,.352,94,94,105,100,104,98,60,166,-0.2,-33.7,kittlke01,1996-1997,NBA
Joe Kleine,C,35,TOT,59,848,.406,.401,.667,.412,.737,.450,.224,.018,89,84,185,84,100,84,70,8,-27.6,-32.0,kleinjo01,1996-1997,NBA
Joe Kleine,C,35,PHO,23,365,.400,.392,1.000,.406,.722,.444,.225,.013,88,82,278,82,98,83,70,6,-13.9,-16.2,kleinjo01,1996-1997,NBA
Joe Kleine,C,35,LAL,8,30,.250,.250,,.250,1.000,.338,.250,.000,55,52,,51,135,63,78,,-3.9,-3.5,kleinjo01,1996-1997,NBA
Joe Kleine,C,35,NJN,28,453,.427,.425,.500,.433,.722,.467,.220,.024,94,88,139,88,98,87,69,12,-9.8,-12.3,kleinjo01,1996-1997,NBA
Travis Knight,C,22,LAL,71,1156,.509,.509,,.509,.620,.536,.364,.000,112,106,,103,84,100,114,,8.9,.3,knightr01,1996-1997,NBA
Larry Krystkowiak,PF,32,LAL,3,11,.500,.500,,.500,.500,.521,1.000,.000,110,104,,101,68,97,313,,.0,-0.1,krystla01,1996-1997,NBA
Toni Kukoč,SF,28,CHI,57,1610,.471,.518,.331,.512,.770,.553,.288,.250,104,108,92,104,104,103,90,118,23.5,23.9,kukocto01,1996-1997,NBA
Christian Laettner,PF,27,ATL,82,3140,.486,.497,.352,.500,.816,.562,.390,.078,107,104,98,101,111,105,122,37,14.9,70.3,laettch01,1996-1997,NBA
Andrew Lang,C,30,MIL,52,1194,.464,.464,,.464,.721,.498,.246,.000,102,97,,94,98,93,77,,-14.5,-20.4,langan01,1996-1997,NBA
Antonio Lang,PF,24,CLE,64,843,.420,.436,.000,.420,.729,.467,.296,.037,92,91,,85,99,87,93,17,-23.7,-25.2,langan02,1996-1997,NBA
Priest Lauderdale,C,23,ATL,35,180,.551,.557,.000,.551,.565,.560,.258,.011,121,116,,112,77,105,81,5,10.3,4.8,laudepr01,1996-1997,NBA
Eric Leckner,C,30,TOT,20,126,.424,.424,,.424,.500,.444,.364,.000,93,88,,86,68,83,114,,-4.5,-7.0,leckner01,1996-1997,NBA
Eric Leckner,C,30,CHH,1,11,.000,.000,,.000,,.000,.000,.000,,,,,,,,,-3.0,-3.2,leckner01,1996-1997,NBA
Eric Leckner,C,30,VAN,19,115,.467,.467,,.467,.500,.482,.400,.000,103,97,,95,68,90,125,,-1.6,-3.8,leckner01,1996-1997,NBA
Tim Legler,SG,30,WSB,15,182,.312,.368,.276,.396,.857,.431,.146,.604,69,77,77,80,116,80,46,285,-9.3,-10.7,legleti01,1996-1997,NBA
Voshon Lenard,SG,23,MIA,73,2111,.459,.541,.414,.593,.819,.614,.154,.646,101,113,115,120,111,115,48,305,136.6,114.8,lenarvo01,1996-1997,NBA
Martin Lewis,SF,21,TOR,9,50,.429,.455,.333,.464,.500,.470,.143,.214,94,95,93,94,68,88,45,101,-0.8,-1.9,lewisma01,1996-1997,NBA
Alton Lister,C,38,BOS,53,516,.416,.416,,.416,.742,.480,.403,.000,91,87,,84,100,90,126,,-11.9,-10.1,listeal01,1996-1997,NBA
Randy Livingston,PG,21,HOU,64,981,.437,.440,.409,.456,.646,.487,.284,.096,96,92,114,93,88,91,89,45,-16.8,-24.9,livinra01,1996-1997,NBA
Horacio Llamas,C,23,PHO,20,101,.536,.536,,.536,.500,.539,.286,.000,118,112,,109,68,101,89,,2.4,.2,llamaho01,1996-1997,NBA
Brad Lohaus,PF,32,TOR,6,45,.267,.250,.286,.333,,.333,.000,.467,59,52,79,68,,62,,220,-4.8,-6.1,lohaubr01,1996-1997,NBA
Grant Long,PF,30,DET,65,1166,.447,.465,.362,.478,.750,.523,.305,.171,98,97,100,97,102,98,96,81,-8.1,-8.2,longgr01,1996-1997,NBA
John Long,SG,40,TOR,32,370,.393,.410,.353,.444,.893,.499,.239,.291,86,85,98,90,121,93,75,137,-11.4,-9.5,longjo01,1996-1997,NBA
Luc Longley,C,28,CHI,59,1472,.456,.458,.000,.456,.792,.499,.247,.004,100,95,,92,107,93,77,2,-36.2,-39.1,longllu01,1996-1997,NBA
George Lynch,SF,26,VAN,41,1059,.471,.496,.258,.485,.619,.512,.333,.107,104,103,72,98,84,96,104,50,-4.9,-15.4,lynchge01,1996-1997,NBA
Sam Mack,SF,26,HOU,52,904,.401,.483,.331,.490,.833,.521,.160,.542,88,101,92,99,113,97,50,256,-1.3,-8.5,macksa01,1996-1997,NBA
Don MacLean,SF,27,PHI,37,733,.447,.462,.316,.463,.660,.493,.266,.104,98,96,88,94,89,92,83,49,-21.9,-34.7,macledo01,1996-1997,NBA
Rick Mahorn,C,38,DET,22,218,.370,.377,.000,.370,.727,.440,.407,.019,81,79,,75,99,82,127,9,-13.2,-12.2,mahorri01,1996-1997,NBA
Dan Majerle,SF,31,MIA,36,1264,.406,.500,.338,.504,.678,.523,.170,.579,89,104,94,102,92,98,53,273,7.9,-9.5,majerda01,1996-1997,NBA
Karl Malone,PF,33,UTA,82,2998,.550,.555,.000,.550,.755,.600,.439,.008,121,115,,112,102,112,137,4,179.1,240.9,malonka01,1996-1997,NBA
Matt Maloney,PG,25,HOU,82,2386,.441,.500,.404,.566,.763,.585,.151,.620,97,104,112,115,103,109,47,293,89.7,64.4,malonma01,1996-1997,NBA
Danny Manning,PF,30,PHO,77,2134,.536,.552,.194,.540,.721,.574,.316,.045,118,115,54,110,98,107,99,21,75.2,70.1,mannida01,1996-1997,NBA
Rich Manning,PF,26,TOT,26,201,.390,.385,.500,.402,.643,.425,.171,.049,86,80,139,82,87,79,53,23,-14.8,-19.4,manniri01,1996-1997,NBA
Rich Manning,PF,26,VAN,16,128,.375,.356,.667,.396,.750,.427,.167,.062,82,74,185,80,102,80,52,30,-9.3,-11.2,manniri01,1996-1997,NBA
Rich Manning,PF,26,LAC,10,73,.412,.424,.000,.412,.500,.423,.176,.029,91,88,,84,68,79,55,14,-5.5,-8.2,manniri01,1996-1997,NBA
Stephon Marbury,PG,19,MIN,67,2324,.408,.434,.354,.466,.727,.519,.387,.331,90,90,98,95,98,97,121,156,-46.7,-34.9,marbust01,1996-1997,NBA
Šarūnas Marčiulionis,SG,32,DEN,17,255,.376,.380,.367,.431,.806,.496,.356,.297,83,79,102,87,109,93,112,140,-12.6,-9.2,marcisa01,1996-1997,NBA
Donyell Marshall,SF,23,GSW,61,1022,.413,.448,.315,.455,.622,.478,.233,.264,91,93,88,92,84,89,73,124,-32.1,-53.2,marshdo01,1996-1997,NBA
Donny Marshall,SF,24,CLE,56,548,.325,.260,.379,.428,.704,.476,.338,.544,71,54,105,87,95,89,106,257,-20.7,-21.8,marshdo02,1996-1997,NBA
Cuonzo Martin,SG,25,MIL,3,13,.000,.000,.000,.000,,.000,.000,.286,,,,,,,,135,-6.9,-7.5,marticu01,1996-1997,NBA
Darrick Martin,PG,25,LAC,82,1820,.407,.415,.389,.470,.872,.539,.348,.326,89,86,108,95,118,101,109,154,-32.9,6.0,martida01,1996-1997,NBA
Jamal Mashburn,SF,24,TOT,69,2164,.385,.421,.325,.445,.702,.487,.307,.373,85,88,90,90,95,91,96,176,-70.5,-81.4,mashbja01,1996-1997,NBA
Jamal Mashburn,SF,24,DAL,37,975,.372,.400,.321,.428,.649,.464,.295,.348,82,83,89,87,88,87,92,165,-48.7,-61.1,mashbja01,1996-1997,NBA
Jamal Mashburn,SF,24,MIA,32,1189,.398,.443,.329,.463,.752,.511,.319,.398,87,92,91,94,102,95,100,188,-21.8,-20.3,mashbja01,1996-1997,NBA
Anthony Mason,PF,30,CHH,73,3143,.525,.526,.333,.525,.745,.585,.519,.004,115,109,93,107,101,109,162,2,53.6,100.5,masonan01,1996-1997,NBA
Tony Massenburg,PF,29,NJN,79,1954,.485,.486,.000,.485,.631,.523,.456,.002,107,101,,98,85,98,143,1,-7.6,-13.3,masseto01,1996-1997,NBA
Vernon Maxwell,SG,31,SAS,72,2068,.375,.421,.309,.439,.744,.471,.199,.411,83,88,86,89,101,88,62,194,-98.2,-126.4,maxweve01,1996-1997,NBA
Lee Mayberry,PG,26,VAN,80,1952,.403,.443,.376,.515,.630,.525,.124,.597,89,92,104,104,85,98,39,282,16.2,-8.0,maybele01,1996-1997,NBA
Walter McCarty,PF,22,NYK,35,192,.382,.407,.286,.412,.571,.431,.206,.206,84,85,79,84,77,81,64,97,-11.0,-15.4,mccarwa01,1996-1997,NBA
Amal McCaskill,C,23,ORL,17,109,.312,.333,.000,.312,.667,.376,.375,.062,69,69,,63,90,70,117,30,-11.5,-11.9,mccasam01,1996-1997,NBA
George McCloud,SF,29,TOT,64,1493,.412,.429,.390,.497,.822,.529,.175,.439,91,89,108,101,111,99,55,207,5.1,-8.8,mccloge01,1996-1997,NBA
George McCloud,SF,29,DAL,41,1207,.423,.455,.380,.504,.837,.539,.191,.425,93,95,106,102,113,101,60,201,10.8,3.3,mccloge01,1996-1997,NBA
George McCloud,SF,29,LAL,23,286,.354,.277,.429,.464,.667,.475,.094,.510,78,58,119,94,90,89,29,241,-5.6,-12.1,mccloge01,1996-1997,NBA
Xavier McDaniel,PF,33,NJN,62,1170,.389,.403,.200,.396,.730,.439,.251,.070,85,84,56,80,99,82,78,33,-69.0,-76.2,mcdanxa01,1996-1997,NBA
Antonio McDyess,PF,22,DEN,74,2565,.463,.472,.171,.466,.708,.509,.334,.030,102,98,48,95,96,95,105,14,-62.7,-69.8,mcdyean01,1996-1997,NBA
Jim McIlvaine,C,24,SEA,82,1477,.471,.480,.143,.473,.495,.486,.388,.025,104,100,40,96,67,91,121,12,-11.1,-32.1,mcilvji01,1996-1997,NBA
Jeff McInnis,PG,22,DEN,13,117,.469,.478,.462,.592,.700,.609,.204,.531,103,100,128,120,95,114,64,251,9.7,7.8,mcinnje01,1996-1997,NBA
Derrick McKey,SF,30,IND,50,1449,.391,.414,.259,.410,.724,.462,.325,.153,86,86,72,83,98,86,102,72,-62.7,-64.0,mckeyde01,1996-1997,NBA
Aaron McKie,SG,24,TOT,83,1625,.411,.416,.398,.467,.836,.524,.301,.282,90,87,111,95,113,98,94,133,-18.9,-9.8,mckieaa01,1996-1997,NBA
Aaron McKie,SG,24,POR,41,775,.340,.297,.418,.413,.837,.479,.314,.353,75,62,116,84,113,89,98,166,-24.8,-20.2,mckieaa01,1996-1997,NBA
Aaron McKie,SG,24,DET,42,850,.464,.491,.375,.507,.836,.558,.292,.230,102,102,104,103,113,104,91,108,5.9,10.4,mckieaa01,1996-1997,NBA
Nate McMillan,PG,32,SEA,37,798,.409,.508,.333,.503,.655,.522,.195,.564,90,106,93,102,89,98,61,266,3.1,-4.3,mcmilna01,1996-1997,NBA
Loren Meyer,PF,24,TOT,54,708,.443,.439,.571,.451,.719,.489,.262,.029,97,91,159,91,97,91,82,14,-20.6,-25.5,meyerlo01,1996-1997,NBA
Loren Meyer,PF,24,DAL,19,259,.436,.434,.500,.442,.750,.468,.154,.026,96,90,139,90,102,87,48,12,-7.9,-11.2,meyerlo01,1996-1997,NBA
Loren Meyer,PF,24,PHO,35,449,.446,.441,.600,.455,.712,.498,.313,.030,98,92,167,92,96,93,98,14,-12.7,-14.3,meyerlo01,1996-1997,NBA
Anthony Miller,PF,25,ATL,1,14,.000,.000,,.000,,.000,.000,.000,,,,,,,,,-4.9,-5.4,millean01,1996-1997,NBA
Oliver Miller,C,26,TOT,61,1152,.517,.521,.000,.517,.608,.539,.332,.008,114,109,,105,82,101,104,4,11.4,1.8,milleol01,1996-1997,NBA
Oliver Miller,C,26,DAL,42,836,.494,.497,.000,.494,.528,.508,.344,.006,109,103,,100,72,95,108,3,.2,-9.9,milleol01,1996-1997,NBA
Oliver Miller,C,26,TOR,19,316,.560,.566,.000,.560,.769,.597,.310,.012,123,118,,114,104,112,97,6,11.2,11.8,milleol01,1996-1997,NBA
Reggie Miller,SG,31,IND,81,2966,.444,.456,.427,.536,.880,.603,.382,.431,98,95,119,109,119,112,119,203,106.5,194.5,millere01,1996-1997,NBA
Chris Mills,SF,27,CLE,80,3167,.453,.473,.391,.501,.842,.544,.234,.246,100,99,109,102,114,101,73,116,14.6,15.8,millsch01,1996-1997,NBA
Terry Mills,PF,29,DET,79,1997,.444,.477,.422,.569,.829,.585,.100,.591,98,99,117,115,112,109,31,279,106.9,72.0,millste01,1996-1997,NBA
Greg Minor,SF,25,BOS,23,547,.480,.495,.125,.482,.861,.519,.184,.041,105,103,35,98,117,97,57,19,-4.2,-6.9,minorgr01,1996-1997,NBA
Sam Mitchell,SF,33,MIN,82,2044,.446,.458,.160,.449,.759,.523,.489,.041,98,95,44,91,103,98,153,20,-52.5,-19.0,mitchsa01,1996-1997,NBA
Eric Mobley,C,26,VAN,28,307,.444,.444,,.444,.533,.472,.476,.000,98,93,,90,72,88,149,,-6.1,-9.6,mobleer01,1996-1997,NBA
Eric Montross,C,25,TOT,78,1828,.456,.456,,.456,.339,.450,.178,.000,100,95,,92,46,84,56,,-26.1,-64.1,montrer01,1996-1997,NBA
Eric Montross,C,25,DAL,47,984,.460,.460,,.460,.294,.451,.182,.000,101,96,,93,40,84,57,,-12.4,-34.3,montrer01,1996-1997,NBA
Eric Montross,C,25,NJN,31,844,.451,.451,,.451,.393,.450,.173,.000,99,94,,91,53,84,54,,-13.7,-29.7,montrer01,1996-1997,NBA
Tracy Moore,SG,31,HOU,27,237,.388,.524,.256,.453,.710,.502,.365,.506,85,109,71,92,96,94,114,239,-6.8,-6.7,mooretr01,1996-1997,NBA
Chris Morris,SF,31,UTA,73,977,.408,.489,.274,.460,.722,.486,.181,.378,90,102,76,93,98,91,57,178,-19.8,-31.7,morrich01,1996-1997,NBA
Lawrence Moten,SG,24,VAN,67,1214,.388,.433,.291,.434,.646,.461,.224,.320,85,90,81,88,88,86,70,151,-51.8,-72.1,motenla01,1996-1997,NBA
Alonzo Mourning,C,26,MIA,66,2320,.534,.539,.111,.535,.642,.578,.638,.010,118,112,31,109,87,108,200,5,74.5,95.7,mournal01,1996-1997,NBA
Chris Mullin,SF,33,GSW,79,2733,.553,.602,.411,.605,.864,.645,.269,.255,122,125,114,123,117,120,84,120,178.2,194.2,mullich01,1996-1997,NBA
Eric Murdock,PG,28,DEN,12,114,.455,.478,.400,.515,.917,.588,.364,.303,100,100,111,105,124,110,114,143,1.5,4.0,murdoer01,1996-1997,NBA
Gheorghe Mureșan,C,25,WSB,73,1849,.604,.604,,.604,.618,.618,.368,.000,133,126,,123,84,115,115,,120.6,103.7,muresgh01,1996-1997,NBA
Lamond Murray,SF,23,LAC,74,1295,.416,.436,.341,.452,.739,.520,.485,.209,91,91,95,92,100,97,152,99,-35.9,-16.4,murrala01,1996-1997,NBA
Tracy Murray,SF,25,WSB,82,1814,.425,.481,.353,.503,.839,.546,.237,.442,93,100,98,102,114,102,74,209,13.6,14.8,murratr01,1996-1997,NBA
Dikembe Mutombo,C,30,ATL,80,2973,.527,.527,,.527,.705,.584,.602,.000,116,110,,107,96,109,188,,49.2,89.1,mutomdi01,1996-1997,NBA
Martin Müürsepp,PF,22,TOT,42,348,.412,.467,.167,.427,.629,.482,.534,.183,91,97,46,87,85,90,167,87,-17.2,-17.3,muursma01,1996-1997,NBA
Martin Müürsepp,PF,22,MIA,10,27,.357,.400,.250,.393,.429,.422,1.000,.286,79,83,69,80,58,79,313,135,-2.8,-4.6,muursma01,1996-1997,NBA
Martin Müürsepp,PF,22,DAL,32,321,.419,.474,.150,.432,.679,.491,.479,.171,92,99,42,88,92,92,150,81,-14.4,-12.7,muursma01,1996-1997,NBA
Steve Nash,PG,22,PHO,65,684,.423,.425,.418,.489,.824,.539,.291,.314,93,88,116,99,112,101,91,148,-1.5,1.5,nashst01,1996-1997,NBA
Ruben Nembhard,SG-PG,24,TOT,10,113,.432,.516,.000,.432,.800,.483,.270,.162,95,107,,88,108,90,85,77,-4.5,-4.3,nembhru01,1996-1997,NBA
Ruben Nembhard,SG,24,UTA,8,94,.414,.480,.000,.414,.800,.479,.345,.138,91,100,,84,108,89,108,65,-4.6,-3.8,nembhru01,1996-1997,NBA
Ruben Nembhard,PG,24,POR,2,19,.500,.667,.000,.500,,.500,.000,.250,110,139,,101,,93,,118,.1,-0.6,nembhru01,1996-1997,NBA
Ivano Newbill,PF,26,ATL,72,850,.440,.440,,.440,.385,.439,.571,.000,97,92,,89,52,82,179,,-9.7,-22.0,newbiiv01,1996-1997,NBA
Johnny Newman,SF,33,MIL,82,2060,.450,.472,.347,.481,.765,.545,.452,.179,99,98,96,98,104,102,141,85,-13.3,12.6,newmajo01,1996-1997,NBA
Gaylon Nickerson,SG,27,TOT,4,42,.333,.400,.000,.333,1.000,.497,.583,.167,73,83,,68,135,93,183,79,-3.8,-1.2,nickega01,1996-1997,NBA
Gaylon Nickerson,SG,27,SAS,3,36,.333,.375,.000,.333,1.000,.538,.778,.111,73,78,,68,135,100,243,52,-2.9,.1,nickega01,1996-1997,NBA
Gaylon Nickerson,SG,27,WSB,1,6,.333,.500,.000,.333,,.333,.000,.333,73,104,,68,,62,,157,-1.0,-1.2,nickega01,1996-1997,NBA
Ken Norman,SF,32,ATL,17,220,.287,.375,.158,.319,.333,.322,.128,.404,63,78,44,65,45,60,40,191,-32.7,-42.4,normake01,1996-1997,NBA
Moochie Norris,PG,23,VAN,8,89,.182,.167,.200,.227,.400,.248,.227,.455,40,35,56,46,54,46,71,215,-11.7,-13.9,norrimo01,1996-1997,NBA
Charles Oakley,PF,33,NYK,80,2873,.488,.495,.263,.492,.808,.545,.323,.027,107,103,73,100,109,102,101,13,-1.2,15.0,oaklech01,1996-1997,NBA
Ed O'Bannon,SF,24,TOT,64,809,.333,.359,.257,.366,.886,.399,.125,.251,73,75,71,74,120,75,39,118,-71.1,-80.4,obanned01,1996-1997,NBA
Ed O'Bannon,SF,24,NJN,45,634,.367,.401,.283,.408,.870,.435,.111,.290,81,84,79,83,118,81,35,137,-35.1,-43.6,obanned01,1996-1997,NBA
Ed O'Bannon,SF,24,DAL,19,175,.236,.258,.100,.243,.917,.298,.167,.139,52,54,28,49,124,56,52,66,-36.0,-36.8,obanned01,1996-1997,NBA
Hakeem Olajuwon,C,34,HOU,78,2852,.510,.512,.312,.512,.787,.558,.313,.011,112,107,87,104,107,104,98,5,53.1,72.2,olajuha01,1996-1997,NBA
Jimmy Oliver,SG,27,TOR,4,43,.308,.429,.167,.346,1.000,.396,.154,.462,68,89,46,70,135,74,48,218,-3.8,-3.9,oliveji01,1996-1997,NBA
Jermaine O'Neal,PF,18,POR,45,458,.451,.454,.000,.451,.603,.494,.510,.007,99,95,,91,82,92,160,3,-12.8,-15.7,onealje01,1996-1997,NBA
Shaquille O'Neal,C,24,LAL,51,1941,.557,.559,.000,.557,.484,.556,.483,.004,122,116,,113,66,104,151,2,127.0,48.7,onealsh01,1996-1997,NBA
Greg Ostertag,C,23,UTA,77,1818,.515,.520,.000,.515,.678,.561,.502,.010,113,108,,104,92,105,157,5,17.7,25.3,ostergr01,1996-1997,NBA
Bo Outlaw,PF,25,LAC,82,2195,.609,.621,.000,.609,.504,.602,.556,.019,134,129,,124,68,112,174,9,96.9,69.0,outlabo01,1996-1997,NBA
Doug Overton,PG,27,PHI,61,634,.426,.473,.250,.453,.938,.514,.253,.211,94,99,69,92,127,96,79,99,-15.3,-9.2,overtdo01,1996-1997,NBA
Billy Owens,SF,27,SAC,66,1995,.467,.482,.347,.487,.697,.514,.227,.113,103,100,96,99,94,96,71,53,-8.0,-29.9,owensbi01,1996-1997,NBA
Ray Owes,PF,24,GSW,57,592,.417,.423,.200,.419,.565,.442,.256,.028,92,88,56,85,77,83,80,13,-26.5,-37.5,owesra01,1996-1997,NBA
Robert Pack,PG,27,TOT,54,1782,.392,.415,.277,.415,.807,.482,.351,.162,86,86,77,84,109,90,110,76,-108.2,-85.9,packro01,1996-1997,NBA
Robert Pack,PG,27,NJN,34,1185,.407,.427,.297,.430,.788,.494,.359,.156,90,89,83,87,107,92,112,74,-59.3,-45.9,packro01,1996-1997,NBA
Robert Pack,PG,27,DAL,20,597,.361,.387,.237,.381,.849,.456,.333,.174,79,81,66,77,115,85,104,82,-48.9,-40.0,packro01,1996-1997,NBA
Robert Parish,C,43,CHI,43,406,.490,.490,,.490,.677,.514,.217,.000,108,102,,99,92,96,68,,-1.0,-6.8,parisro01,1996-1997,NBA
Cherokee Parks,PF,24,MIN,76,961,.510,.512,.000,.510,.605,.535,.376,.005,112,107,,103,82,100,118,2,6.8,-0.2,parksch02,1996-1997,NBA
Gary Payton,PG,28,SEA,82,3213,.476,.533,.313,.517,.715,.545,.240,.256,105,111,87,105,97,102,75,121,69.9,30.1,paytoga01,1996-1997,NBA
Anthony Peeler,SG,27,VAN,72,2291,.398,.410,.373,.461,.820,.487,.132,.339,87,85,104,94,111,91,41,160,-64.8,-104.7,peelean01,1996-1997,NBA
Will Perdue,C,31,SAS,65,1918,.568,.568,,.568,.579,.582,.417,.000,125,118,,115,78,109,131,,61.8,45.2,perduwi01,1996-1997,NBA
Sam Perkins,C,35,SEA,81,1976,.439,.477,.395,.531,.817,.584,.346,.467,96,99,110,108,111,109,108,221,50.3,73.0,perkisa01,1996-1997,NBA
Elliot Perry,PG,27,MIL,82,1595,.474,.523,.358,.527,.745,.557,.231,.299,104,109,99,107,101,104,72,141,31.5,21.4,perryel01,1996-1997,NBA
Wesley Person,SG,25,PHO,80,2326,.453,.487,.413,.548,.798,.567,.126,.458,100,101,115,111,108,106,40,216,98.7,59.0,persowe01,1996-1997,NBA
Bobby Phills,SG,27,CLE,69,2375,.428,.442,.394,.484,.718,.514,.227,.282,94,92,109,98,97,96,71,133,-14.2,-36.6,phillbo01,1996-1997,NBA
Eric Piatkowski,SG,26,LAC,65,747,.450,.466,.425,.535,.821,.579,.282,.403,99,97,118,109,111,108,88,190,25.2,29.2,piatker01,1996-1997,NBA
Ricky Pierce,SG,37,TOT,60,1250,.481,.490,.442,.523,.897,.583,.312,.191,106,102,123,106,121,109,98,90,30.0,53.5,piercri01,1996-1997,NBA
Ricky Pierce,SG,37,DEN,33,600,.462,.489,.308,.485,.902,.557,.354,.150,101,102,85,98,122,104,111,71,-4.3,13.1,piercri01,1996-1997,NBA
Ricky Pierce,SG,37,CHH,27,650,.502,.492,.536,.565,.889,.612,.266,.236,110,102,149,115,120,114,83,112,34.3,40.4,piercri01,1996-1997,NBA
Ed Pinckney,PF,33,MIA,27,273,.535,.535,,.535,.800,.611,.581,.000,118,111,,109,108,114,182,,3.6,8.2,pincked01,1996-1997,NBA
Scottie Pippen,SF,31,CHI,82,3095,.474,.522,.368,.531,.701,.554,.213,.310,104,109,102,108,95,103,67,147,105.2,55.6,pippesc01,1996-1997,NBA
Olden Polynice,C,32,SAC,82,2893,.457,.460,.000,.457,.562,.476,.260,.006,100,96,,93,76,89,81,3,-69.4,-129.2,polynol01,1996-1997,NBA
Terry Porter,PG,33,MIN,82,1568,.416,.482,.335,.491,.765,.544,.370,.445,92,100,93,100,104,102,116,210,-1.7,8.8,portete01,1996-1997,NBA
Vitaly Potapenko,C,21,CLE,80,1238,.440,.439,.500,.441,.736,.486,.296,.005,97,91,139,89,100,91,92,2,-44.0,-47.0,potapvi01,1996-1997,NBA
Brent Price,PG,28,HOU,25,390,.419,.519,.321,.500,1.000,.551,.200,.505,92,108,89,101,135,103,63,238,1.5,3.6,pricebr01,1996-1997,NBA
Mark Price,PG,32,GSW,70,1876,.447,.493,.396,.542,.906,.597,.290,.480,98,103,110,110,123,111,91,227,57.3,81.5,pricema01,1996-1997,NBA
Dino Radja,C,29,BOS,25,874,.440,.441,.000,.440,.718,.471,.209,.003,97,92,,89,97,88,66,1,-36.2,-47.6,radjadi01,1996-1997,NBA
Theo Ratliff,C,23,DET,76,1292,.531,.531,,.531,.698,.566,.344,.000,117,111,,108,95,106,108,,25.7,23.3,ratlith01,1996-1997,NBA
Eldridge Recasner,SG,29,ATL,71,1207,.423,.429,.414,.506,.879,.539,.166,.400,93,89,115,103,119,101,52,189,8.9,2.7,recasel01,1996-1997,NBA
Bryant Reeves,C,23,VAN,75,2777,.486,.490,.091,.486,.704,.523,.300,.011,107,102,25,99,95,98,94,5,-13.6,-29.7,reevebr01,1996-1997,NBA
Khalid Reeves,PG,24,TOT,63,1432,.391,.416,.366,.480,.747,.508,.185,.483,86,87,102,97,101,95,58,228,-12.4,-28.5,reevekh01,1996-1997,NBA
Khalid Reeves,PG,24,NJN,50,1048,.393,.389,.396,.499,.747,.528,.209,.535,86,81,110,101,101,99,65,253,4.1,-5.9,reevekh01,1996-1997,NBA
Khalid Reeves,PG,24,DAL,13,384,.387,.474,.200,.419,.750,.439,.108,.315,85,99,56,85,102,82,34,149,-16.4,-22.6,reevekh01,1996-1997,NBA
Don Reid,PF,23,DET,47,462,.482,.486,.000,.482,.750,.523,.286,.009,106,101,,98,102,98,89,4,-2.4,-3.1,reiddo01,1996-1997,NBA
Shawn Respert,SG,24,TOT,41,495,.424,.476,.351,.496,.872,.551,.281,.410,93,99,97,101,118,103,88,194,1.0,4.7,respesh01,1996-1997,NBA
Shawn Respert,SG,24,MIL,14,83,.316,.500,.111,.342,1.000,.453,.368,.474,69,104,31,69,135,85,115,224,-5.7,-3.7,respesh01,1996-1997,NBA
